题目,A选项,B选项,C选项,D选项,正确答案
中国的首都是哪座城市?,上海,北京,广州,深圳,B
地球上最大的洋是哪个?,大西洋,印度洋,太平洋,北冰洋,C
光年是什么单位?,时间单位,长度单位,速度单位,质量单位,B
水的化学式是什么?,H2O,CO2,O2,NaCl,A
世界上最高的山峰是?,泰山,华山,珠穆朗玛峰,富士山,C
一年有多少天?,360天,365天或366天,400天,300天,B
人体最大的器官是什么?,心脏,肝脏,皮肤,大脑,C
太阳系中最大的行星是?,地球,木星,土星,火星,B
蜘蛛有几条腿?,4条,6条,8条,10条,C
"白日依山尽"的下一句是什么?,疑是银河落九天,黄河入海流,更上一层楼,春风吹又生,B
鲸鱼是什么动物?,鱼类,哺乳动物,两栖动物,爬行动物,B
世界上人口最多的国家是?,印度,美国,中国,俄罗斯,C
《西游记》的作者是谁?,吴承恩,罗贯中,施耐庵,曹雪芹,A
一个世纪是多少年?,10年,50年,100年,1000年,C
企鹅生活在哪个地区?,北极,南极,赤道,沙漠,B
声音不能在什么环境中传播?,水中,空气中,真空中,金属中,C
中国有多少个省级行政区?,23个,31个,34个,50个,C
电流的单位是什么?,伏特,安培,瓦特,欧姆,B
NBA是哪个国家的篮球联赛?,中国,美国,英国,日本,B
"床前明月光"出自哪首诗?,《望庐山瀑布》,《静夜思》,《春晓》,《登鹳雀楼》,B
狗的寿命一般是多少年?,1-3年,5-8年,10-15年,20-25年,C
月球绕地球一周大约需要多少天?,7天,15天,27天,60天,C
人类有多少颗恒牙?,20颗,28-32颗,40颗,50颗,B
世界上最长的河流是?,长江,黄河,尼罗河,亚马逊河,C
一周有几天?,5天,6天,7天,8天,C
